city,country,jaccard_similarity_sewage_transit_ARG_group,sewage_ARG_group_richness,transit_ARG_group_richness,shared_ARG_group_count,n_sewage_samples_pooled,n_transit_samples_pooled,city_population_density,city_avg_june_temperature (°C),region,city_climate,city_population,gdp_per_capita ($),sanitation_coverage (%),wastewater_treatment_coverage (%),coastal_city,city_elevation (m),city_latitude,city_longitude,june_relative_humidity_percent,june_precipitation_mm_per_day,june_precipitation_mm_total,climate_period,climate_source
Barcelona,Spain,0.030769231,54,13,2,5,5,16000,24.4,Europe,hot_summer_mediterranean,1620809,35326.8,88,81.2,yes,12,41.38879,2.15899,61.9435,0.9075,27.224999999999998,2001-2020,NASA POWER monthly point data
Berlin,Germany,0.033333333,68,25,3,5,5,4200,19.4,Europe,warm_humid_continental,3711930,56107.3,97,99.1,no,34,52.52437,13.41053,65.9775,1.887,56.61,2001-2020,NASA POWER monthly point data
Bogota,Colombia,0.067708333,182,23,13,1,5,4310,16.1,South America,marine_west_coast,8080734,7919.2,19,17.2,no,2640,4.60971,-74.08175,78.1425,5.404,162.12,2001-2020,NASA POWER monthly point data
Hanoi,Vietnam,0.187234043,213,66,44,1,5,2300,29,Asia,humid_subtropical,7587800,4717.3,45,40.8,no,20,21,105,81.5425,6.0115,180.345,2001-2020,NASA POWER monthly point data
Hong_Kong,China,0.093117409,237,33,23,2,5,6777,30.3,Asia,humid_subtropical,7453230,54074.7,95,93.2,yes,957,22.285520000000002,114.15769,85.984,9.397,281.91,2001-2020,NASA POWER monthly point data
Ilorin,Nigeria,0.066037736,65,48,7,5,5,1188,25.6,Africa,tropical_savanna,777667,1084.2,32,40.7,no,310,8.49664,4.54214,84.756,5.6485,169.455,2001-2020,NASA POWER monthly point data
Kuala_Lumpur,Malaysia,0.166666667,174,71,35,5,5,6891,29.7,Asia,tropical_rainforest,1790000,11874.4,86,90.6,no,66,3.1412,101.68653,86.9125,5.156,154.67999999999998,2001-2020,NASA POWER monthly point data
Lisbon,Portugal,0.057377049,104,25,7,4,5,6458,23.9,Europe,hot_summer_mediterranean,505526,29292.2,94,85.3,yes,2,38.75382,-9.23083,77.2705,0.4315,12.945,2001-2020,NASA POWER monthly point data
Oslo,Norway,0.032258065,48,16,2,4,5,1400,10,Europe,warm_humid_continental,673469,86785.4,78,74,yes,22.9,59.91273,10.74609,77.6385,3.2,96,2001-2020,NASA POWER monthly point data
Porto,Portugal,0.039215686,89,17,4,4,5,5700,20.6,Europe,warm_summer_mediterranean,237591,29292.2,94,85.3,yes,97,41.14961,-8.61099,75.804,1.0765,32.295,2001-2020,NASA POWER monthly point data
Rio_de_Janeiro,Brazil,0.073684211,64,38,7,3,5,2705,22.8,South America,tropical_savanna,6688930,10310.5,55,43.4,yes,5,-22.90278,-43.2075,79.809,1.638,49.14,2001-2020,NASA POWER monthly point data
Santiago,Chile,0.011494253,77,11,1,5,5,9821,8.3,South America,warm_summer_mediterranean,6310000,16709.9,95,87.9,no,570,-33.45694,-70.64827,48.7225,2.0949999999999998,62.849999999999994,2001-2020,NASA POWER monthly point data
Singapore,Singapore,0.041493776,237,14,10,5,5,7796,29.2,Asia,tropical_rainforest,5791901,90674.1,100,100,yes,163.63,1.28967,103.85007,83.76,5.4535,163.605,2001-2020,NASA POWER monthly point data
Sofia,Bulgaria,0.070588235,58,33,6,5,5,2517,19,Europe,marine_west_coast,1238438,17596,76,74.6,no,500,42.7,23.33,67.253,2.816,84.47999999999999,2001-2020,NASA POWER monthly point data
Taipei,Taiwan,0.088785047,203,30,19,4,5,7500,29.4,Asia,humid_subtropical,8500000,13303.1,69,64,yes,1120,25.04776,121.53185,84.179,9.0145,270.435,2001-2020,NASA POWER monthly point data
Vienna,Austria,0.086956522,90,35,10,5,5,4326,25,Europe,warm_humid_continental,1899055,58268.9,99,95.8,no,151,48.20849,16.37208,67.1855,3.023,90.69,2001-2020,NASA POWER monthly point data
