city,country,sewage_ARG_group_richness,transit_ARG_group_richness,n_sewage_samples_pooled,n_transit_samples_pooled,city_population_density,city_avg_june_temperature (°C),region,city_climate,city_population,gdp_per_capita ($),sanitation_coverage (%),wastewater_treatment_coverage (%),coastal_city,city_elevation (m),city_latitude,city_longitude,june_relative_humidity_percent,june_precipitation_mm_per_day,june_precipitation_mm_total,climate_period,climate_source,shared_ARG_group_count_previous,jaccard_similarity_previous,shared_ARG_group_count,union_ARG_group_count,jaccard_similarity_sewage_transit_ARG_group
Barcelona,Spain,54,13,5,5,16000,24.4,Europe,hot_summer_mediterranean,1620809,35326.8,88,81.2,yes,12,41.38879,2.15899,61.9435,0.9075,27.225,2001-2020,NASA POWER monthly point data,2,0.030769231,8,59,0.13559322033898305
Berlin,Germany,68,25,5,5,4200,19.4,Europe,warm_humid_continental,3711930,56107.3,97,99.1,no,34,52.52437,13.41053,65.9775,1.887,56.61,2001-2020,NASA POWER monthly point data,3,0.033333333,9,84,0.10714285714285714
Bogota,Colombia,182,23,1,5,4310,16.1,South America,marine_west_coast,8080734,7919.2,19,17.2,no,2640,4.60971,-74.08175,78.1425,5.404,162.12,2001-2020,NASA POWER monthly point data,13,0.067708333,12,193,0.06217616580310881
Hanoi,Vietnam,213,66,1,5,2300,29,Asia,humid_subtropical,7587800,4717.3,45,40.8,no,20,21,105,81.5425,6.0115,180.345,2001-2020,NASA POWER monthly point data,44,0.187234043,52,227,0.2290748898678414
Hong_Kong,China,237,33,2,5,6777,30.3,Asia,humid_subtropical,7453230,54074.7,95,93.2,yes,957,22.285520000000002,114.15769,85.984,9.397,281.91,2001-2020,NASA POWER monthly point data,23,0.093117409,16,254,0.06299212598425197
Ilorin,Nigeria,65,48,5,5,1188,25.6,Africa,tropical_savanna,777667,1084.2,32,40.7,no,310,8.49664,4.54214,84.756,5.6485,169.455,2001-2020,NASA POWER monthly point data,7,0.066037736,23,90,0.25555555555555554
Kuala_Lumpur,Malaysia,174,71,5,5,6891,29.7,Asia,tropical_rainforest,1790000,11874.4,86,90.6,no,66,3.1412,101.68653,86.9125,5.156,154.67999999999998,2001-2020,NASA POWER monthly point data,35,0.166666667,48,197,0.2436548223350254
Lisbon,Portugal,104,25,4,5,6458,23.9,Europe,hot_summer_mediterranean,505526,29292.2,94,85.3,yes,2,38.75382,-9.23083,77.2705,0.4315,12.945,2001-2020,NASA POWER monthly point data,7,0.057377049,17,112,0.15178571428571427
Oslo,Norway,48,16,4,5,1400,10,Europe,warm_humid_continental,673469,86785.4,78,74,yes,22.9,59.91273,10.74609,77.6385,3.2,96,2001-2020,NASA POWER monthly point data,2,0.032258065,9,55,0.16363636363636364
Porto,Portugal,89,17,4,5,5700,20.6,Europe,warm_summer_mediterranean,237591,29292.2,94,85.3,yes,97,41.14961,-8.61099,75.804,1.0765,32.295,2001-2020,NASA POWER monthly point data,4,0.039215686,15,91,0.16483516483516483
Rio_de_Janeiro,Brazil,64,38,3,5,2705,22.8,South America,tropical_savanna,6688930,10310.5,55,43.4,yes,5,-22.90278,-43.2075,79.809,1.638,49.14,2001-2020,NASA POWER monthly point data,7,0.073684211,15,87,0.1724137931034483
Santiago,Chile,77,11,5,5,9821,8.3,South America,warm_summer_mediterranean,6310000,16709.9,95,87.9,no,570,-33.45694,-70.64827,48.7225,2.095,62.849999999999994,2001-2020,NASA POWER monthly point data,1,0.011494253,6,82,0.07317073170731707
Singapore,Singapore,237,14,5,5,7796,29.2,Asia,tropical_rainforest,5791901,90674.1,100,100,yes,163.63,1.28967,103.85007,83.76,5.4535,163.605,2001-2020,NASA POWER monthly point data,10,0.041493776,9,242,0.0371900826446281
Sofia,Bulgaria,58,33,5,5,2517,19,Europe,marine_west_coast,1238438,17596,76,74.6,no,500,42.7,23.33,67.253,2.816,84.47999999999999,2001-2020,NASA POWER monthly point data,6,0.070588235,17,74,0.22972972972972974
Taipei,Taiwan,203,30,4,5,7500,29.4,Asia,humid_subtropical,8500000,13303.1,69,64,yes,1120,25.04776,121.53185,84.179,9.0145,270.435,2001-2020,NASA POWER monthly point data,19,0.088785047,15,218,0.06880733944954129
Vienna,Austria,90,35,5,5,4326,25,Europe,warm_humid_continental,1899055,58268.9,99,95.8,no,151,48.20849,16.37208,67.1855,3.023,90.69,2001-2020,NASA POWER monthly point data,10,0.086956522,20,105,0.19047619047619047
